债券募集说明书名称,公告发布日,半透明小字
华茂股份：公司债券募集说明书,2008-01-17,"2008年安徽华茂纺织股份有限公司公司债券 募集说明书 发行人： 安徽华茂纺织股份有限公司 主承销商： 债券总额…………人民币肆亿元整（RMB400,000,000元） 债券期限…………10年期，自2"
海马股份：可转换公司债券募集说明书,2008-01-11,"海马投资集团股份有限公司 HAIMA INVESTMENT GROUP CO.,LTD. 可转换公司债券募集说明书 股票简称： 海马股份 证券代码： 000572 注册地址： 海口市金盘工业区金盘路 "
中联重科：公开发行公司债券募集说明书,2008-04-17,长沙中联重工科技发展股份有限公司 （湖南省长沙市银盆南路 361 号) 公 开 发 行 公 司 债 券 募 集 说 明 书 保荐人（主承销商）：华欧国际证券有限责任公司 注册地址：上海市浦东新区福山路
唐钢股份：可转换公司债券募集说明书,2007-12-11,唐山钢铁股份有限公司 （河北省唐山市滨河路 9号） （股票简称及代码：唐钢股份 000709） 可转换公司债券募集说明书 保荐人（主承销商）：中银国际证券有限责任公司 募集说明书公告时间：2007年 
粤电力Ａ：公开发行公司债券募集说明书（08粤电债）,2008-03-06,1-1-1 发行人声明 发行人董事会已批准本募集说明书及其摘要，全体董事承诺其中不存在虚假记 载、误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和连带的法律 责任。 公司负责人和主管会计工
韶能股份：公司债券募集说明书,2007-10-12,1 2007 年广东韶能集团股份有限公司 公司债券募集说明书 主承销商： 国联证券有限责任公司 （无锡市县前东街 168 号） 2 3 发行人董事会声明 “发行人董事会已批准本期债券募集说明书及其摘要
华茂股份：公司债券募集说明书（摘要）,2008-01-17,1 2008年安徽华茂纺织股份有限公司公司债券 募集说明书摘要 发行人： 安徽华茂纺织股份有限公司 主承销商： 重要提示 本募集说明书摘要旨在向有意投资 2008 年安徽华茂纺织股份有限公司公司债券 
锡业股份：可转换公司债券募集说明书,2007-05-09,股票简称：锡业股份 股票代码：000960 云南锡业股份有限公司 （注册地址：云南省昆明市高新技术产业开发区） 可 转 换 公 司 债 券 募 集 说 明 书 保荐人（主承销商） 国信证券有限责任公司
中兴通讯：认股权与债券分离交易的可转换公司债券募集说明书,2008-01-25,股票简称：中兴通讯 股票代码：000063（A股）、763（H股） 中兴通讯股份有限公司 ZTE Corporation （注册地址：深圳市南山区高新技术产业园科技南路中兴通讯大厦） 认股权与债券分离
中兴通讯：认股权与债券分离交易的可转换公司债券募集说明书（摘要）,2008-01-25,认股权与债券分离交易的可转换公司债券募集说明书摘要 1 证券代码（A/H）：000063/763 证券简称（A/H）：中兴通讯 公告编号：200801 中兴通讯股份有限公司 ZTE Corporati
中信国安：认股权和债券分离交易的可转换公司债券募集说明书（摘要）,2007-09-11,"证券代码：000839 证券简称：中信国安 公告编号：2007-27 中信国安信息产业股份有限公司 （CITIC Guoan Information Industry Co., Ltd.） 注册地址："
中信国安：认股权和债券分离交易的可转换公司债券募集说明书,2007-09-11,"股票简称：中信国安 股票代码：000839 中信国安信息产业股份有限公司 （CITIC Guoan Information Industry Co., Ltd.） 注册地址：北京市海淀区海淀南路 32"
韶钢松山：发行可转换公司债券募集说明书（摘要）,2007-02-02,本次发行的募集文件 募集说明书摘要 1-2-1 广东韶钢松山股份有限公司 发行可转换公司债券募集说明书摘要 保荐机构（主承销商） 西南证券有限责任公司 重 要 声 明 本募集说明书摘要的目的仅为向公众
韶钢松山：发行可转换公司债券募集说明书,2007-02-02,"本次发行的申请文件 募集说明书 1—1—1 广东韶钢松山股份有限公司 SGIS Songshan Co., Ltd. （注册地：广东省韶关市曲江区马坝） 股票简称：韶钢松山 股票代码：000717 发"
巨轮股份：发行可转换公司债券募集说明书（摘要）,2006-12-29,证券代码：002031 证券简称：巨轮股份 公告编号：2006-033 发行可转换公司债券募集说明书摘要 股票简称：巨轮股份 股票代码：002031 注册地址：广东省揭东经济开发试验区 5 号路中段 
巨轮股份：发行可转换公司债券募集说明书,2006-12-29,发行可转换公司债券募集说明书 股票简称：巨轮股份 股票代码：002031 注册地址：广东省揭东经济开发试验区 5号路中段 保荐人（主承销商）：国信证券有限责任公司 募集说明书公告时间：2006 年 1
G 招商局：发行可转换公司债券募集说明书,2006-08-25,发行可转换公司债券 募集说明书 发行人注册地址：中华人民共和国广东省深圳市 股票简称与代码： G 招商局（000024）、招商局 B（200024） 募集说明书公告时间：2006 年 8 月 25 日
G 招商局：发行可转换公司债券募集说明书（摘要）,2006-08-25,发行可转换公司债券 募集说明书摘要 发行人注册地址：中华人民共和国广东省深圳市 股票简称与代码： G 招商局（000024）、招商局 B（200024） 募集说明书公告时间：2006 年 8 月 25
新 钢 钒：认股权与债券分离交易的可转换公司债券募集说明书,2006-11-22,1－1－1 股票简称：新钢钒 股票代码：000629 攀枝花新钢钒股份有限公司 （注册地：攀枝花市弄弄坪） 认股权与债券分离交易的可转换公司债券 募集说明书 保荐人（主承销商） （深圳市罗湖区笋岗路 
万 科 Ａ可转换公司债券募集说明书,2004-09-22,股票简称：万科 A 万科 B 股票代码：000002 200002 公告编号：2004-034 万科企业股份有限公司 发行 19.90亿元可转换公司债券路演公告 经中国证券监督管理委员会证监发行字【２
晨鸣纸业可转换公司债券募集说明书,2004-09-10,山东晨鸣纸业集团股份有限公司 (山东省寿光市圣城街 595号) 发行可转换公司债券 募集说明书 （封卷稿） 保荐机构（主承销商） 西南证券有限责任公司 (重庆市渝中区临江支路 2号合景国际大厦 A 幢
山东海化可转换公司债券募集说明书,2004-09-01,"募集说明书及发行公告 募集说明书 1-1-1 山东海化股份有限公司 SHANDONG HAIHUA COMPANY LIMITED 公开发行可转换公司债券 募集说明书 100,000万元人民币 （封卷"
金牛能源发行可转换公司债券募集说明书,2004-08-06,河北金牛能源股份有限公司公开发行7亿元可转换公司债券 路演公告 经中国证券监督管理委员会证监发行字〖2004〗128号文核准，河北金牛能 源股份有限公司将公开发行 7亿元可转换公司债券。 为便于投资者
华菱管线发行可转换公司债券募集说明书,2004-07-14,可转换公司债券募集说明书及发行公告 募集说明书 1--1--1 湖南华菱管线股份有限公司 发行可转换公司债券募集说明书 发 行 人：湖南华菱管线股份有限公司 住 所：长沙市芙蓉中路二段 111 号华菱
华侨城Ａ发行可转换公司债券募集说明书,2003-12-26,发行可转换公司债券 募集说明书 发 行 人：深圳华侨城控股股份有限公司 股票简称：华侨城A 股票代码：000069 注册地址：中华人民共和国广东省深圳市南山区华侨城 主承销商：长江证券有限责任公司 注
首钢股份发行可转换公司债券募集说明书,2003-12-12,北京首钢股份有限公司 可转换公司债券募集说明书 1－1－1 北京首钢股份有限公司 发行可转换公司债券募集说明书 发 行 人：北京首钢股份有限公司 注册地址：北京市石景山区石景山路 股票名称：首钢股份 
华 西 村发行可转换公司债券募集说明书,2003-08-27,江苏华西村股份有限公司 发行可转换公司债券 募集说明书 发 行 人: 江苏华西村股份有限公司 住 所: 江苏省江阴市华士镇华西村 主承销商: 联合证券有限责任公司 住 所: 深圳市深南东路 5047号
铜都铜业：发行可转换公司债券募集说明书,2003-05-16,1-1-1 安徽铜都铜业股份有限公司 发行可转换公司债券募集说明书 发行人 安徽铜都铜业股份有限公司 地址 安徽省铜陵市长江西路有色大院西楼 电话 0562 2825029 主承销商 申银万国证券股份
新 钢 钒：发行可转换公司债券募集说明书,2003-01-17,攀枝花新钢钒股份有限公司 四川省攀枝花市弄弄坪 发行可转换公司债券 募 集 说 明 书 主承销商 兴业证券股份有限公司 福建省福州市湖东路99号标力大厦 攀枝花新钢钒股份有限公司 发行可转换公司债券募
丰原生化：申请发行可转换公司债券募集说明书,2003-04-18,"1—1—0 安徽丰原生物化学股份有限公司 ANHUI BBCA BIOCHEMICAL CO., LTD. 申请发行可转换公司债券募集说明书 发行人名称：安徽丰原生物化学股份有限公司 注册地址：安徽省"
丝绸股份可转换公司债券募集说明书,2002-09-04,吴江丝绸股份有限公司 发行可转换公司债券募集说明书 发行人：吴江丝绸股份有限公司 住 所：江苏省吴江市盛泽镇舜新中路39号 主承销商：东方证券有限责任公司 住 所：上海市浦东新区东方路1025号 1-
燕京啤酒发行可转换公司债券募集说明书,2002-10-12,"北京燕京啤酒股份有限公司 BEIJING YANJING BREWERY CO.,LTD. 公开发行可转换公司债券 募 集 说 明 书 700,000,000元人民币 发 行 人 北京燕京啤酒股份有限"
万 科 Ａ可转换公司债券募集说明书,2002-06-07,"万科企业股份有限公司 公开发行15亿元可转换公司债券 网上路演及现场推介公告 经中国证券监督管理委员会证监发行字[2002]52号文核准，万科企业股份 有限公司(以下简称""万科"")将公开发行 15亿元"
18恒集03：2018年面向合格投资者公开发行公司债券（第三期）募集说明书,2018-11-02,浙江恒逸集团有限公司公司债券募集说明书 1 声 明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办法》、《公开发行证券的公司信息披露内容与格式 准则第
18恒集03：2018年面向合格投资者公开发行公司债券（第三期）募集说明书,2018-10-31,浙江恒逸集团有限公司公司债券募集说明书 1 声 明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办法》、《公开发行证券的公司信息披露内容与格式 准则第
