债券募集说明书名称,公告发布日,半透明小字
日照港股份有限公司公开发行2013年公司债券募集说明书,2014-02-27,"股票简称：日照港 股票代码：600017 日照港股份有限公司 Rizhao Port Co., Ltd. （山东"
日照港公开发行2013年公司债券募集说明书摘要,2014-02-27,"股票简称：日照港 股票代码：600017 日照港股份有限公司 Rizhao Port Co., Ltd. （山东"
日照港公开发行2013年公司债券募集说明书,2014-02-27,"股票简称：日照港 股票代码：600017 日照港股份有限公司 Rizhao Port Co., Ltd. （山东"
深圳燃气公开发行可转换公司债券募集说明书,2013-12-11,证券简称：深圳燃气 证券代码：601139 （（注注册册地地址址：：深深圳圳市市福福田田
深圳燃气公开发行可转换公司债券募集说明书摘要,2013-12-11,1-2-1 证券简称：深圳燃气 证券代码：601139 （（注注册册地地址址：：深深圳圳市市福
盛屯矿业集团股份有限公司公开发行2013年公司债券募集说明书摘要,2013-12-10,2013 年 月 日 盛屯矿业集团股份有限公司 公司债券募集说明书摘要 1-2-1 声明 本募集说
盛屯矿业集团股份有限公司公开发行2013年公司债券募集说明书,2013-12-10,股票简称：盛屯矿业 股票代码：600711 （福建省厦门市金桥路 101 号商务楼第四层东侧
盛屯矿业公开发行2013年公司债券募集说明书,2013-12-10,股票简称：盛屯矿业 股票代码：600711 （福建省厦门市金桥路 101 号商务楼第四层东侧
盛屯矿业公开发行2013年公司债券募集说明书摘要,2013-12-10,2013 年 月 日 盛屯矿业集团股份有限公司 公司债券募集说明书摘要 1-2-1 声明 本募集说
云南煤业能源股份有限公司公开发行2013年公司债券募集说明书,2013-11-29,"云南煤业能源股份有限公司 Yunnan Coal and Energy Co., Ltd. （昆明市经济技术开发区"
云南煤业能源股份有限公司公开发行2013年公司债券募集说明书摘要,2013-11-29,"云南煤业能源股份有限公司 Yunnan Coal and Energy Co., Ltd. （昆明市经济技术开发区"
云煤能源公开发行2013年公司债券募集说明书摘要,2013-11-29,"云南煤业能源股份有限公司 Yunnan Coal and Energy Co., Ltd. （昆明市经济技术开发区"
云煤能源公开发行2013年公司债券募集说明书,2013-11-29,"云南煤业能源股份有限公司 Yunnan Coal and Energy Co., Ltd. （昆明市经济技术开发区"
海通证券股份有限公司公开发行公司债券募集说明书（第一期）,2013-11-21,股票简称 :海通证券 股票代码:600s37 ⑧讼止诳吝海通证券股份有限 HAIToNG seGurities
海通证券股份有限公司公开发行公司债券募集说明书摘要（第一期）,2013-11-21,"股票简称：海通证券 股票代码：600837 海通证券股份有限公司 HAITONG Securities Co.,"
海通证券公开发行公司债券募集说明书摘要（第一期）,2013-11-21,"股票简称：海通证券 股票代码：600837 海通证券股份有限公司 HAITONG Securities Co.,"
海通证券公开发行公司债券募集说明书（第一期）,2013-11-21,股票简称 :海通证券 股票代码:600s37 ⑧讼止诳吝海通证券股份有限 HAIToNG seGurities
中信建投证券股份有限公司公开发行债券募集说明书摘要,2013-11-20,"中信建投证券股份有限公司 CHINA SECURITIES CO., LTD. （注册地址：北京市朝阳区安立"
中信建投证券股份有限公司公开发行债券募集说明书,2013-11-20,"中信建投证券股份有限公司 CHINA SECURITIES CO., LTD. （注册地址：北京市朝阳区安立"
华域汽车系统股份有限公司公开发行2013年公司债券募集说明书摘要,2013-11-14,A 股股票简称：华域汽车 A 股股票代码：600741 华域汽车系统股份有限公司 （住所：上海
华域汽车系统股份有限公司公开发行2013年公司债券募集说明书摘要,2013-11-14,A 股股票简称：华域汽车 A 股股票代码：600741 华域汽车系统股份有限公司 （住所：上海
华域汽车系统股份有限公司公开发行2013年公司债券募集说明书,2013-11-14,A 股股票简称：华域汽车 A股股票代码：600741 华域汽车系统股份有限公司 （住所：上海
东吴证券股份有限公司2013年公开发行公司债券募集说明书摘要,2013-11-14,股票简称：东吴证券 股票代码：601555 （苏州工业园区星阳街 5号） 2013年公开发行公司
华域汽车系统股份有限公司公开发行2013年公司债券募集说明书,2013-11-14,A 股股票简称：华域汽车 A股股票代码：600741 华域汽车系统股份有限公司 （住所：上海
东吴证券股份有限公司2013年公开发行公司债券募集说明书,2013-11-14,股票简称：东吴证券 股票代码：601555 （苏州工业园区星阳街 5号） 2013年公开发行公司
东吴证券2013年公开发行公司债券募集说明书摘要,2013-11-14,股票简称：东吴证券 股票代码：601555 （苏州工业园区星阳街 5号） 2013年公开发行公司
东吴证券2013年公开发行公司债券募集说明书,2013-11-14,股票简称：东吴证券 股票代码：601555 （苏州工业园区星阳街 5号） 2013年公开发行公司
华域汽车公开发行2013年公司债券募集说明书摘要,2013-11-14,A 股股票简称：华域汽车 A 股股票代码：600741 华域汽车系统股份有限公司 （住所：上海
华域汽车公开发行2013年公司债券募集说明书,2013-11-14,A 股股票简称：华域汽车 A股股票代码：600741 华域汽车系统股份有限公司 （住所：上海
中国外运股份有限公司公开发行公司债券募集说明书,2013-11-06,1-3-0 股票简称：中国外运 股票代码：00598.HK 中国外运股份有限公司 （住所：北京市海
中国外运股份有限公司公开发行公司债券募集说明书摘要,2013-11-06,股票简称：中国外运 股票代码：00598.HK 中国外运股份有限公司 （住所：北京市海淀区西
隧道股份公开发行可转换公司债券募集说明书摘要,2013-09-11,股票简称：隧道股份 股票代码：600820 上海隧道工程股份有限公司 公开发行可转换公司债
隧道股份公开发行可转换公司债券募集说明书,2013-09-11,股票简称：隧道股份 股票代码：600820 上海隧道工程股份有限公司 公开发行可转换公司债
安信证券股份有限公司公开发行债券募集说明书,2013-08-15,安信证券股份有限公司 （广东省深圳市福田区金田路4018号安联大厦35层、28层A02单元）
安信证券股份有限公司公开发行债券募集说明书摘要,2013-08-15,安信证券股份有限公司 （广东省深圳市福田区金田路4018号安联大厦35层、28层A02单元）
北京京客隆商业集团股份有限公司公开发行2013年公司债券募集说明书摘要,2013-08-09,北京京客隆商业集团股份有限公司公司债券募集说明书摘要 1 声明 本募集说明书摘要的目
北京京客隆商业集团股份有限公司公开发行2013年公司债券募集说明书,2013-08-09,北京京客隆商业集团股份有限公司公司债券募集说明书 1 声明 本募集说明书依据《中华人
永泰能源股份有限公司公开发行2013年公司债券募集说明书摘要,2013-08-02,"永泰能源股份有限公司 WINTIME ENERGY CO.,LTD. （山西省灵石县翠峰镇新建街南 110 号"
永泰能源股份有限公司公开发行2013年公司债券募集说明书,2013-08-02,"永泰能源股份有限公司 WINTIME ENERGY CO.,LTD. （山西省灵石县翠峰镇新建街南 110 号"
永泰能源公开发行2013年公司债券募集说明书,2013-08-02,"永泰能源股份有限公司 WINTIME ENERGY CO.,LTD. （山西省灵石县翠峰镇新建街南 110 号"
永泰能源公开发行2013年公司债券募集说明书摘要,2013-08-02,"永泰能源股份有限公司 WINTIME ENERGY CO.,LTD. （山西省灵石县翠峰镇新建街南 110 号"
四川路桥建设股份有限公司公开发行2013年公司债券募集说明书,2013-07-24,股票简称：四川路桥 股票代码：600039 四川路桥建设股份有限公司 （四川省成都市高朋大
四川路桥建设股份有限公司公开发行2013年公司债券募集说明书摘要,2013-07-24,股票简称：四川路桥 股票代码：600039 四川路桥建设股份有限公司 （四川省成都市高朋大
四川路桥公开发行2013年公司债券募集说明书摘要,2013-07-24,股票简称：四川路桥 股票代码：600039 四川路桥建设股份有限公司 （四川省成都市高朋大
四川路桥公开发行2013年公司债券募集说明书,2013-07-24,股票简称：四川路桥 股票代码：600039 四川路桥建设股份有限公司 （四川省成都市高朋大
华泰证券股份有限公司公开发行公司债券募集说明书,2013-06-03,股票简称：华泰证券 股票代码：601688 住所：江苏省南京市中山东路 90 号 公开发行公司
华泰证券股份有限公司公开发行公司债券募集说明书（修订稿）,2013-06-03,股票简称：华泰证券 股票代码：601688 住所：江苏省南京市中山东路 90 号 公开发行公司
华泰证券股份有限公司公开发行公司债券募集说明书摘要（修订稿）,2013-06-03,股票简称：华泰证券 股票代码：601688 住所：江苏省南京市中山东路 90 号 公开发行公司
华泰证券股份有限公司公开发行公司债券募集说明书摘要,2013-06-03,股票简称：华泰证券 股票代码：601688 住所：江苏省南京市中山东路 90 号 公开发行公司
华泰证券公开发行公司债券募集说明书摘要,2013-06-03,股票简称：华泰证券 股票代码：601688 住所：江苏省南京市中山东路 90 号 公开发行公司
华泰证券公开发行公司债券募集说明书,2013-06-03,股票简称：华泰证券 股票代码：601688 住所：江苏省南京市中山东路 90 号 公开发行公司
华泰证券公开发行公司债券募集说明书摘要（修订稿）,2013-06-03,股票简称：华泰证券 股票代码：601688 住所：江苏省南京市中山东路 90 号 公开发行公司
华泰证券公开发行公司债券募集说明书（修订稿）,2013-06-03,股票简称：华泰证券 股票代码：601688 住所：江苏省南京市中山东路 90 号 公开发行公司
张家港保税科技股份有限公司公开发行公司债券募集说明书,2013-05-21,股票简称：保税科技 股票代码：600794 张家港保税科技股份有限公司 （江苏省张家港保税
张家港保税科技股份有限公司公开发行公司债券募集说明书摘要,2013-05-21,张家港保税科技股份有限公司 公开发行公司债券募集说明书摘要 1-2-0 股票简称：保税科
保税科技公开发行公司债券募集说明书摘要,2013-05-21,张家港保税科技股份有限公司 公开发行公司债券募集说明书摘要 1-2-0 股票简称：保税科
保税科技公开发行公司债券募集说明书,2013-05-21,股票简称：保税科技 股票代码：600794 张家港保税科技股份有限公司 （江苏省张家港保税
2013年中国南车股份有限公司公开发行公司债券募集说明书（第一期）,2013-04-18,0 股票简称：中国南车 股票代码：601766.SH、01766.HK 中国南车股份有限公司 （住所：
2013年中国南车股份有限公司公开发行公司债券募集说明书摘要（第一期）,2013-04-18,0 股票简称：中国南车 股票代码：601766.SH、01766.HK 中国南车股份有限公司 （住所：
中国南车：2013年中国南车股份有限公司公开发行公司债券募集说明书摘要（第一期）,2013-04-18,0 股票简称：中国南车 股票代码：601766.SH、01766.HK 中国南车股份有限公司 （住所：
中国南车：2013年中国南车股份有限公司公开发行公司债券募集说明书（第一期）,2013-04-18,0 股票简称：中国南车 股票代码：601766.SH、01766.HK 中国南车股份有限公司 （住所：
平顶山天安煤业股份有限公司公开发行公司债券募集说明书,2013-04-15,平顶山天安煤业股份有限公司 （河南省平顶山市矿工中路 21 号） 公开发行公司债券募集
平顶山天安煤业股份有限公司公开发行公司债券募集说明书摘要,2013-04-15,平顶山天安煤业股份有限公司 （河南省平顶山市矿工中路 21 号） 公开发行公司债券募集
平煤股份公开发行公司债券募集说明书摘要,2013-04-15,平顶山天安煤业股份有限公司 （河南省平顶山市矿工中路 21 号） 公开发行公司债券募集
平煤股份公开发行公司债券募集说明书,2013-04-15,平顶山天安煤业股份有限公司 （河南省平顶山市矿工中路 21 号） 公开发行公司债券募集
宁波热电股份有限公司公开发行2013年公司债券募集说明书,2013-04-11,1-1-1 发行人声明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法
宁波热电股份有限公司公开发行2013年公司债券募集说明书摘要,2013-04-11,1-2-1 发行人声明 本募集说明书摘要的目的仅为向公众提供有关本次发行的简要情况，并不
宁波热电公开发行2013年公司债券募集说明书摘要,2013-04-11,1-2-1 发行人声明 本募集说明书摘要的目的仅为向公众提供有关本次发行的简要情况，并不
宁波热电公开发行2013年公司债券募集说明书,2013-04-11,1-1-1 发行人声明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法
天士力制药集团股份有限公司公开发行2013年度第一期公司债券募集说明书摘要（修订版）,2013-03-29,股票简称：天士力 股票代码：600535 天士力制药集团股份有限公司 TIANJIN TASLY PHARM
天士力公开发行2013年度第一期公司债券募集说明书摘要（修订版）,2013-03-29,股票简称：天士力 股票代码：600535 天士力制药集团股份有限公司 TIANJIN TASLY PHARM
天士力制药集团股份有限公司公开发行2013年度第一期公司债券募集说明书摘要,2013-03-27,股票简称：天士力 股票代码：600535 天士力制药集团股份有限公司 TIANJIN TASLY PHARM
天士力制药集团股份有限公司公开发行2013年度第一期公司债券募集说明书,2013-03-27,股票简称：天士力 股票代码：600535 天士力制药集团股份有限公司 TIANJIN TASLY PHARM
天士力公开发行2013年度第一期公司债券募集说明书摘要,2013-03-27,股票简称：天士力 股票代码：600535 天士力制药集团股份有限公司 TIANJIN TASLY PHARM
天士力公开发行2013年度第一期公司债券募集说明书,2013-03-27,股票简称：天士力 股票代码：600535 天士力制药集团股份有限公司 TIANJIN TASLY PHARM
2012年大唐国际发电股份有限公司公开发行公司债券募集说明书摘要（第一期）,2013-03-25,2012年大唐国际发电股份有限公司 （住所：北京市宣武区广安门内大街 482号） 公开发行
2012年大唐国际发电股份有限公司公开发行公司债券募集说明书（第一期）,2013-03-25,2012年大唐国际发电股份有限公司 （住所：北京市宣武区广安门内大街 482号） 公开发行
大唐发电：2012年大唐国际发电股份有限公司公开发行公司债券募集说明书摘要（第一期）,2013-03-25,2012年大唐国际发电股份有限公司 （住所：北京市宣武区广安门内大街 482号） 公开发行
大唐发电：2012年大唐国际发电股份有限公司公开发行公司债券募集说明书（第一期）,2013-03-25,2012年大唐国际发电股份有限公司 （住所：北京市宣武区广安门内大街 482号） 公开发行
华电福新能源股份有限公司公开发行2013年公司债券募集说明书,2013-03-21,华电福新能源股份有限公司公司债券募集说明书 1-1-3-1 声明 本募集说明书依据《中华人
华电福新能源股份有限公司公开发行2013年公司债券募集说明书摘要,2013-03-21,华电福新能源股份有限公司公司债券募集说明书摘要 1-2-3-1 声明 本募集说明书摘要的目
华电福新能源股份有限公司公开发行2013年公司债券募集说明书,2013-03-21,华电福新能源股份有限公司公司债券募集说明书 1-1-3-1 声明 本募集说明书依据《中华人
华电福新能源股份有限公司公开发行2013年公司债券募集说明书摘要,2013-03-21,华电福新能源股份有限公司公司债券募集说明书摘要 1-2-3-1 声明 本募集说明书摘要的目
芜湖港储运股份有限公司公开发行2012年公司债券募集说明书,2013-03-18,股票简称：芜湖港 股票代码：600575 芜湖港储运股份有限公司 （住所：芜湖市经济技术开
芜湖港储运股份有限公司公开发行2012年公司债券募集说明书摘要,2013-03-18,股票简称：芜湖港 股票代码：600575 芜湖港储运股份有限公司 （住所：芜湖市经济技术开
芜湖港公开发行2012年公司债券募集说明书摘要,2013-03-18,股票简称：芜湖港 股票代码：600575 芜湖港储运股份有限公司 （住所：芜湖市经济技术开
芜湖港公开发行2012年公司债券募集说明书,2013-03-18,股票简称：芜湖港 股票代码：600575 芜湖港储运股份有限公司 （住所：芜湖市经济技术开
北京华胜天成科技股份有限公司公开发行公司债券募集说明书,2013-03-11,北京华胜天成科技股份有限公司 公开发行公司债券募集说明书 1-1-1 股票简称：华胜天成
北京华胜天成科技股份有限公司公开发行公司债券募集说明书摘要,2013-03-11,北京华胜天成科技股份有限公司 公开发行公司债券募集说明书摘要 1-2-1 股票简称：华胜
华胜天成公开发行公司债券募集说明书摘要,2013-03-11,北京华胜天成科技股份有限公司 公开发行公司债券募集说明书摘要 1-2-1 股票简称：华胜
华胜天成公开发行公司债券募集说明书,2013-03-11,北京华胜天成科技股份有限公司 公开发行公司债券募集说明书 1-1-1 股票简称：华胜天成
四川西部资源控股股份有限公司2012年公开发行公司债券募集说明书,2013-03-06,1 股票简称：西部资源 股票代码：600139 四川西部资源控股股份有限公司 （住所：四川绵
四川西部资源控股股份有限公司2012年公开发行公司债券募集说明书摘要,2013-03-06,1 股票简称：西部资源 股票代码：600139 四川西部资源控股股份有限公司 （住所：四川绵
西部资源2012年公开发行公司债券募集说明书摘要,2013-03-06,1 股票简称：西部资源 股票代码：600139 四川西部资源控股股份有限公司 （住所：四川绵
西部资源2012年公开发行公司债券募集说明书,2013-03-06,1 股票简称：西部资源 股票代码：600139 四川西部资源控股股份有限公司 （住所：四川绵
宝胜科技创新股份有限公司2012年度公开发行公司债券募集说明书,2013-03-04,宝胜科技创新股份有限公司 公司债券募集说明书 1-1-1 发行人声明 本募集说明书及其摘要
宝胜科技创新股份有限公司2012年度公开发行公司债券募集说明书摘要,2013-03-04,宝胜科技创新股份有限公司 公司债券募集说明书摘要 1-2-1 发行人声明 本募集说明书及其
宝胜股份2012年度公开发行公司债券募集说明书摘要,2013-03-04,宝胜科技创新股份有限公司 公司债券募集说明书摘要 1-2-1 发行人声明 本募集说明书及其
宝胜股份2012年度公开发行公司债券募集说明书,2013-03-04,宝胜科技创新股份有限公司 公司债券募集说明书 1-1-1 发行人声明 本募集说明书及其摘要
招商证券股份有限公司公开发行2012年公司债券募集说明书,2013-03-01,股票简称：招商证券 股票代码：600999 （住所：深圳市福田区益田路江苏大厦A座38-45楼
招商证券股份有限公司公开发行2012年公司债券募集说明书摘要,2013-03-01,股票简称：招商证券 股票代码：600999 （住所：深圳市福田区益田路江苏大厦A座38-45楼
招商证券公开发行2012年公司债券募集说明书,2013-03-01,股票简称：招商证券 股票代码：600999 （住所：深圳市福田区益田路江苏大厦A座38-45楼
招商证券公开发行2012年公司债券募集说明书摘要,2013-03-01,股票简称：招商证券 股票代码：600999 （住所：深圳市福田区益田路江苏大厦A座38-45楼
上海电力股份有限公司公开发行2012年公司债券募集说明书摘要,2013-02-28,股票简称：上海电力 股票代码：600021 上海电力股份有限公司 （住所：上海市中山南路2
上海电力股份有限公司公开发行2012年公司债券募集说明书,2013-02-28,股票简称：上海电力 股票代码：600021 上海电力股份有限公司 （住所：上海市中山南路2
上海电力公开发行2012年公司债券募集说明书摘要,2013-02-28,股票简称：上海电力 股票代码：600021 上海电力股份有限公司 （住所：上海市中山南路2
上海电力公开发行2012年公司债券募集说明书,2013-02-28,股票简称：上海电力 股票代码：600021 上海电力股份有限公司 （住所：上海市中山南路2
上海海立(集团)股份有限公司公开发行公司债券募集说明书,2013-02-26,上海海立（集团）股份有限公司 公司债券募集说明书 1 发行人声明 本募集说明书及其摘要
上海海立(集团)股份有限公司公开发行公司债券募集说明书摘要,2013-02-26,上海海立（集团）股份有限公司 公司债券募集说明书摘要 1 发行人声明 募集说明书及本募
海立股份公开发行公司债券募集说明书摘要,2013-02-26,上海海立（集团）股份有限公司 公司债券募集说明书摘要 1 发行人声明 募集说明书及本募
海立股份公开发行公司债券募集说明书,2013-02-26,上海海立（集团）股份有限公司 公司债券募集说明书 1 发行人声明 本募集说明书及其摘要
重庆水务集团股份有限公司公开发行2012年公司债券募集说明书摘要,2013-01-25,股票简称：重庆水务 股票代码：601158 重庆水务集团股份有限公司 Chongqing Water Gro
重庆水务集团股份有限公司公开发行2012年公司债券募集说明书,2013-01-25,股票简称：重庆水务 股票代码：601158 重庆水务集团股份有限公司 CHONGQING WATER GRO
重庆水务公开发行2012年公司债券募集说明书摘要,2013-01-25,股票简称：重庆水务 股票代码：601158 重庆水务集团股份有限公司 Chongqing Water Gro
重庆水务公开发行2012年公司债券募集说明书,2013-01-25,股票简称：重庆水务 股票代码：601158 重庆水务集团股份有限公司 CHONGQING WATER GRO
广东榕泰实业股份有限公司公开发行2012年公司债券募集说明书摘要,2013-01-22,股票简称：广东榕泰 股票代码：600589 广东榕泰实业股份有限公司 （住所：广东省揭阳市
广东榕泰实业股份有限公司公开发行2012年公司债券募集说明书,2013-01-22,股票简称：广东榕泰 股票代码：600589 广东榕泰实业股份有限公司 （住所：广东省揭阳市
广东榕泰公开发行2012年公司债券募集说明书摘要,2013-01-22,股票简称：广东榕泰 股票代码：600589 广东榕泰实业股份有限公司 （住所：广东省揭阳市
广东榕泰公开发行2012年公司债券募集说明书,2013-01-22,股票简称：广东榕泰 股票代码：600589 广东榕泰实业股份有限公司 （住所：广东省揭阳市
桐昆集团股份有限公司公开发行2012年公司债券募集说明书摘要,2013-01-17,"股票简称：桐昆股份 股票代码：601233 桐昆集团股份有限公司 TONGKUN GROUP CO.,LTD."
桐昆集团股份有限公司公开发行2012年公司债券募集说明书,2013-01-17,"股票简称：桐昆股份 股票代码：601233 桐昆集团股份有限公司 TONGKUN GROUP CO.,LTD."
桐昆股份公开发行2012年公司债券募集说明书摘要,2013-01-17,"股票简称：桐昆股份 股票代码：601233 桐昆集团股份有限公司 TONGKUN GROUP CO.,LTD."
桐昆股份公开发行2012年公司债券募集说明书,2013-01-17,"股票简称：桐昆股份 股票代码：601233 桐昆集团股份有限公司 TONGKUN GROUP CO.,LTD."
江中药业股份有限公司公开发行公司债券募集说明书,2012-12-05,股票代码：600750 股票简称：江中药业 江中药业股份有限公司 Jiangzhong Pharmaceutic
江中药业股份有限公司公开发行公司债券募集说明书摘要,2012-12-05,股票代码：600750 股票简称：江中药业 江中药业股份有限公司 Jiangzhong Pharmaceutic
江中药业公开发行公司债券募集说明书摘要,2012-12-05,股票代码：600750 股票简称：江中药业 江中药业股份有限公司 Jiangzhong Pharmaceutic
江中药业公开发行公司债券募集说明书,2012-12-05,股票代码：600750 股票简称：江中药业 江中药业股份有限公司 Jiangzhong Pharmaceutic
新疆青松建材化工（集团）股份有限公司2012年公开发行公司债券募集说明书摘要,2012-12-03,股票简称：青松建化 证券代码：600425 新疆青松建材化工（集团）股份有限公司 XIN JIA
新疆青松建材化工（集团）股份有限公司2012年公开发行公司债券募集说明书,2012-12-03,股票简称：青松建化 证券代码：600425 新疆青松建材化工（集团）股份有限公司 XIN JIA
骆驼集团股份有限公司公开发行公司债券募集说明书,2012-12-03,骆驼集团股份有限公司 公开发行公司债券募集说明书 1-1-1 股票简称：骆驼股份 股票代码
骆驼集团股份有限公司公开发行公司债券募集说明书摘要,2012-12-03,1-2-1 股票简称：骆驼股份 股票代码：601311 骆驼集团股份有限公司 （湖北省谷城县石花
青松建化2012年公开发行公司债券募集说明书,2012-12-03,股票简称：青松建化 证券代码：600425 新疆青松建材化工（集团）股份有限公司 XIN JIA
骆驼股份公开发行公司债券募集说明书摘要,2012-12-03,1-2-1 股票简称：骆驼股份 股票代码：601311 骆驼集团股份有限公司 （湖北省谷城县石花
青松建化2012年公开发行公司债券募集说明书摘要,2012-12-03,股票简称：青松建化 证券代码：600425 新疆青松建材化工（集团）股份有限公司 XIN JIA
骆驼股份公开发行公司债券募集说明书,2012-12-03,骆驼集团股份有限公司 公开发行公司债券募集说明书 1-1-1 股票简称：骆驼股份 股票代码
同仁堂公开发行可转换公司债券募集说明书摘要,2012-11-30,股票简称：同仁堂 股票代码 ：600085 北京同仁堂股份有限公司 （注册地址：北京市北京
同仁堂公开发行可转换公司债券募集说明书,2012-11-30,股票简称：同仁堂 股票代码 ：600085 北京同仁堂股份有限公司 （注册地址：北京市北京
同仁堂公开发行可转换公司债券募集说明书摘要,2012-11-30,股票简称：同仁堂 股票代码 ：600085 北京同仁堂股份有限公司 （注册地址：北京市北京
同仁堂公开发行可转换公司债券募集说明书,2012-11-30,股票简称：同仁堂 股票代码 ：600085 北京同仁堂股份有限公司 （注册地址：北京市北京
招金矿业股份有限公司公开发行公司债券募集说明书摘要,2012-11-14,招金矿业股份有限公司 （山东省招远市金晖路 299 号） 公开发行公司债券募集说明书摘要
上海交运集团股份有限公司公开发行公司债券募集说明书,2012-11-14,上海交运集团股份有限公司 公司债券募集说明书 1-1-1 上海交运集团股份有限公司 公司债
招金矿业股份有限公司公开发行公司债券募集说明书,2012-11-14,招金矿业股份有限公司公开发行公司债券募集说明书 1-1-3-1 招金矿业股份有限公司 （山
上海交运集团股份有限公司公开发行公司债券募集说明书摘要,2012-11-14,上海交运集团股份有限公司 公司债募集说明书摘要 - 1-2-1 上海交运集团股份有限公司 公
交运股份公开发行公司债券募集说明书,2012-11-14,上海交运集团股份有限公司 公司债券募集说明书 1-1-1 上海交运集团股份有限公司 公司债
交运股份公开发行公司债券募集说明书摘要,2012-11-14,上海交运集团股份有限公司 公司债募集说明书摘要 - 1-2-1 上海交运集团股份有限公司 公
赛轮股份有限公司2012年公开发行公司债券募集说明书,2012-11-13,赛轮股份有限公司 2012 年公开发行公司债券 募集说明书 赛轮股份有限公司 （青岛经济技
赛轮股份有限公司2012年公开发行公司债券募集说明书摘要,2012-11-13,赛轮股份有限公司 2012 年公开发行公司债券 募集说明书摘要 赛轮股份有限公司 （青岛经
赛轮股份2012年公开发行公司债券募集说明书摘要,2012-11-13,赛轮股份有限公司 2012 年公开发行公司债券 募集说明书摘要 赛轮股份有限公司 （青岛经
赛轮股份2012年公开发行公司债券募集说明书,2012-11-13,赛轮股份有限公司 2012 年公开发行公司债券 募集说明书 赛轮股份有限公司 （青岛经济技
双良节能系统股份有限公司公开发行公司债券募集说明书,2012-11-08,双良节能公开发行公司债券申请文件 募集说明书 股票简称：双良节能 股票代码：600481
双良节能系统股份有限公司公开发行公司债券募集说明书摘要,2012-11-08,股票简称：双良节能 股票代码：600481 双良节能系统股份有限公司 Shuangliang Eco-Ene
双良节能公开发行公司债券募集说明书摘要,2012-11-08,股票简称：双良节能 股票代码：600481 双良节能系统股份有限公司 Shuangliang Eco-Ene
双良节能公开发行公司债券募集说明书,2012-11-08,双良节能公开发行公司债券申请文件 募集说明书 股票简称：双良节能 股票代码：600481
安徽海螺水泥股份有限公司公开发行2012年公司债券募集说明书（修正稿）,2012-11-05,股票代码：600585 股票简称：海螺水泥 安徽海螺水泥股份有限公司 ANHUI CONCH CEMENT
山西兰花科技创业股份有限公司公开发行公司债券募集说明书摘要,2012-11-05,股票简称：兰花科创 股票代码：600123 山西兰花科技创业股份有限公司 （山西省晋城市凤
安徽海螺水泥股份有限公司公开发行2012年公司债券募集说明书摘要（修正稿）,2012-11-05,股票代码：600585 股票简称：海螺水泥 安徽海螺水泥股份有限公司 ANHUI CONCH CEMENT
安徽海螺水泥股份有限公司公开发行2012年公司债券募集说明书摘要,2012-11-05,股票代码：600585 股票简称：海螺水泥 安徽海螺水泥股份有限公司 ANHUI CONCH CEMENT
山西兰花科技创业股份有限公司公开发行公司债券募集说明书,2012-11-05,股票简称：兰花科创 股票代码：600123 山西兰花科技创业股份有限公司 （山西省晋城市凤
安徽海螺水泥股份有限公司公开发行2012年公司债券募集说明书,2012-11-05,股票代码：600585 股票简称：海螺水泥 安徽海螺水泥股份有限公司 ANHUI CONCH CEMENT
海螺水泥公开发行2012年公司债券募集说明书,2012-11-05,股票代码：600585 股票简称：海螺水泥 安徽海螺水泥股份有限公司 ANHUI CONCH CEMENT
海螺水泥公开发行2012年公司债券募集说明书摘要,2012-11-05,股票代码：600585 股票简称：海螺水泥 安徽海螺水泥股份有限公司 ANHUI CONCH CEMENT
兰花科创公开发行公司债券募集说明书摘要,2012-11-05,股票简称：兰花科创 股票代码：600123 山西兰花科技创业股份有限公司 （山西省晋城市凤
兰花科创公开发行公司债券募集说明书,2012-11-05,股票简称：兰花科创 股票代码：600123 山西兰花科技创业股份有限公司 （山西省晋城市凤
华能新能源股份有限公司公开发行公司债券募集说明书,2012-10-25,华能新能源股份有限公司 公司债券募集说明书 1-3-0 股票简称：华能新能源 股票代码：0
华能新能源股份有限公司公开发行公司债券募集说明书摘要,2012-10-25,股票简称：华能新能源 股票代码：0958.HK 华能新能源股份有限公司 （住所：北京市海淀
北京王府井百货（集团）股份有限公司公开发行公司债券募集说明书,2012-10-22,股票简称：王府井 股票代码：600859 北京王府井百货（集团）股份有限公司 （住所：北京
北京王府井百货（集团）股份有限公司公开发行公司债券募集说明书,2012-10-22,股票简称：王府井 股票代码：600859 北京王府井百货（集团）股份有限公司 （住所：北京
北京王府井百货（集团）股份有限公司公开发行公司债券募集说明书摘要,2012-10-22,股票简称：王府井 股票代码：600859 北京王府井百货（集团）股份有限公司 （住所：北京
通威股份有限公司公开发行公司债券募集说明书摘要,2012-10-22,通威股份有限公司 公司债券募集说明书摘要 1-2-1 声 明 一、本募集说明书的全部内容遵
广西桂冠电力股份有限公司2012年公开发行公司债券募集说明书摘要,2012-10-22,股票简称：桂冠电力 股票代码：600236 广西桂冠电力股份有限公司 （南宁市青秀区民族大
通威股份有限公司公开发行公司债券募集说明书,2012-10-22,通威股份有限公司 公司债券募集说明书 1-1-1 声 明 一、本募集说明书的全部内容遵循《
北京王府井百货（集团）股份有限公司公开发行公司债券募集说明书摘要,2012-10-22,股票简称：王府井 股票代码：600859 北京王府井百货（集团）股份有限公司 （住所：北京
